Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:10:31	352	617	1	4	0	0	0	4	1.5	0	0	4	0.5	0	0	4	1	0	0	4	0.75	0.259		34.4225	271.873	10.6382	0	309.047	0.277311	970.898	1		0.0708984	12.1148	48.4336	0	54.7664	-1.57017	
2026-08-14 12:10:36	353	618	1	4.5	0	0	0	4.5	1.5	0	0	4.5	0.5	0	0	4.5	1	0	0	4.5	0.75	0.259		37.6645	242.669	11.6756	0	309.989	0.322037	973.859	1		0.0708984	12.1148	48.8234	0	54.7664	-1.57017	
2026-08-14 12:11:22	361	619	1	0.5	0	0	0	2	1.5	0	0	1	0.5	0	0	1.5	1	0	0	1.25	0.75	0.367		25.7875	356.752	6.14584	0	238.326	0.354066	1058.86	1		0.0708984	12.1148	48.6935	0	54.7664	-1.57015	
2026-08-14 12:10:42	354	620	1	5	0	0	0	5	1.5	0	0	5	0.5	0	0	5	1	0	0	5	0.75	0.259		32.8507	277.408	10.1285	0	308.318	0.326758	968.61	1		0.0708984	12.1148	48.8234	0	54.7664	-1.57017	
2026-08-14 12:12:14	370	621	1	5	0	0	0	6.5	1.5	0	0	5.5	0.5	0	0	6	1	0	0	5.75	0.75	0.367		28.9244	315.782	10.092	0	348.91	0.23929	1550.16	1		0.0708984	12.1148	48.4336	0	54.7664	-1.57016	
2026-08-14 12:08:28	332	622	1	0	0.5	0	0	7.5	0.5	0	0	0.5	0.5	0	0	1	0.5	0	0	2.25	0.5	0.262		27.6678	329.815	5.17317	0	186.974	0.41517	1162.02	1		0.0708984	12.1236	49.6031	0	54.7665	-1.57021	
2026-08-14 12:10:48	355	623	1	5.5	0	0	0	5.5	1.5	0	0	5.5	0.5	0	0	5.5	1	0	0	5.5	0.75	0.259		28.4432	321.329	13.576	0	477.302	0.224905	1499.49	1		0.0708984	12.1148	48.8234	0	54.7664	-1.57017	
2026-08-14 12:15:10	401	624	1	2	0.5	0	0	2.5	1	0	0	1.5	0	0	0	3	1.5	0	0	2.25	0.75	0.367		31.0357	294.462	7.3096	0	235.522	0.312892	1046.4	1		0.0797607	12.1148	48.1737	0	54.7665	-1.57018	
2026-08-14 12:10:59	357	625	1	6.5	0	0	0	6.5	1.5	0	0	6.5	0.5	0	0	6.5	1	0	0	6.5	0.75	0.259		27.428	335.693	11.2631	0	410.64	0.273725	1290.06	1		0.0708984	12.1148	48.6935	0	54.7664	-1.57017	
2026-08-14 12:08:40	334	626	2	0	0.5	0	0	7.5	0.5	0	0	5	0.5	0	0	5.5	0.5	0	0	4.5	0.5	0.951		27.5517	327.532	0.994986	0	36.1134	0.0815553	1919.98	1		0.0708984	12.0439	49.4731	0	54.7665	-1.57021	
